Transaction ID,Customer Name,Merchant Name,Transaction Date,Transaction Amount (INR),Fraud Risk,Fraud Type,State,Card Type,Bank,IsFraud,Fraud Score,Transaction Category,Merchant Location
17797619,Pihu Manne,Uber,2024-11-10,11673,Medium,Card Not Present,Telangana,Rupay,ICICI Bank,0,57,Transportation,Bangalore
50040671,Hiran Vaidya,Zomato,2024-05-20,16594,Medium,Phishing,Maharashtra,Amex,SBI,0,10,Groceries,Bangalore
88177651,Shalv Vasa,Myntra,2024-05-28,23347,Medium,Card Skimming,Uttar Pradesh,Visa,HDFC Bank,0,55,Transportation,Ahmedabad
24228305,Taran Shanker,Lifestyle,2024-01-09,20753,Low,Card Skimming,Kerala,Visa,Federal Bank,0,30,E-commerce,Lucknow
87307869,Shanaya Kara,Tata Cliq,2024-07-27,6432,Low,Card Skimming,Delhi,Amex,SBI,0,86,Electronics,Hyderabad
25042953,Eshani Batta,Lifestyle,2023-12-20,4586,Critical,Card Skimming,West Bengal,Amex,Andhra Bank,0,80,E-commerce,Hyderabad
13457605,Advik Jayaraman,Flipkart,2023-12-26,2202,Medium,Account Takeover,Tamil Nadu,Amex,Bank of Baroda,0,95,Apparel,Mumbai
95389887,Drishya Bhandari,Lifestyle,2024-01-05,17709,High,Card Not Present,Karnataka,Visa,HDFC Bank,0,56,E-commerce,Jaipur
66937046,Mannat Kothari,Zomato,2024-11-09,1613,Low,Phishing,Uttar Pradesh,Rupay,HDFC Bank,1,92,Food Delivery,Bangalore
39375009,Aradhya Khosla,Lifestyle,2024-10-22,21623,Low,Card Skimming,West Bengal,Visa,Bank of Baroda,0,66,Apparel,Delhi
26313417,Lakshay Ravi,Lifestyle,2024-10-08,7180,Critical,Card Skimming,Telangana,Visa,Yes Bank,0,90,Apparel,Mumbai
53768437,Tushar Kara,Amazon India,2024-11-16,1562,Low,Identity Theft,Kerala,Mastercard,Bank of Baroda,0,46,E-commerce,Kolkata
49564502,Shamik Sharaf,Big Bazaar,2024-12-05,1521,Medium,Card Skimming,Karnataka,Visa,HDFC Bank,1,25,Food Delivery,Ahmedabad
46575685,Shray Dutt,Reliance Digital,2024-01-26,18563,Low,Account Takeover,Delhi,Rupay,ICICI Bank,0,19,Transportation,Bangalore
85972172,Prisha Mannan,Reliance Digital,2024-05-29,4486,High,Card Skimming,Maharashtra,Visa,Kotak Bank,1,43,E-commerce,Ahmedabad
